unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
1301B,U+1301B,,A-27-024,C,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",ꞽt.y,Classifier sovereign,A23,,A23,,,A023
1301C,U+1301C,,A-16-021,C,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",,Classifier force/effort,A24,"22,8",A24,,,A024
1301D,U+1301D,,A-16-039,C,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",,Classifier force/effort,A25,,A25,,,A025
1301E,U+1301E,,A-02-020,C,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",ꞽ,Logogram (vocative interjection),A26,"4,5",A26,,,A026
1301F,U+1301F,,A-02-041,C,"Man, running, right arm raised in front, left arm in front of the body.",ꞽn,Phonemogram/classifier messenger,A27,"5,7",A27,,,A027
13020,U+13020,,A-02-044,C,"Man, standing, with arms raised at either side of the body, hand palms inwards.",ḳꜣꞽ,Logogram (to be high),A28,"5,11",A28,,,A028
13021,U+13021,,A-03-001,C,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",sḫd,Classifier upside-down,A29,"6,2",A29,,Y,A029
13022,U+13022,,A-04-001,C,"Man, standing, both arms raised in front, hands held vertically, hand palms outwards.",,Classifier adoration,A30,"6,4",A30,,,A030
13023,U+13023,,A-02-030,C,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",,Classifier turning away,A31,"4,16",A31,,,A031
13024,U+13024,,A-19-011,C,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the height of the left foot, right arm in front of the body, left arm raised at the back, hand at the height of the head.",ḫbꞽ,Classifier dancing,A32,"29,9",A32,,,A032
13025,U+13025,,A-19-014,C,,,,,"29,12",,,,A032A
13026,U+13026,,A-14-011,C,"Man, standing, bent forwards, both arms forward, holding a stick with a bundle or a mat over his shoulders, bundle behind the back.",rw,Classifier wandering/displaced,A33,,A33,,,A033
13027,U+13027,,A-12-019,C,"Man, standing, back slightly bent forwards, both arms forward, holding a long stick (rammer), which ends at the bottom in a mortar.",ḫwsꞽ,"Logogram (to pound, to build)",A34,"16,9",A34,,,A034
13028,U+13028,,A-12-023,C,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",ḳd,Logogram (to build),A35,"16,12",A35,,,A035
13029,U+13029,,A-12-008,C,"Man, standing, back bent forwards, both arms forwards, extending downwards into a large vessel.",ꜥf.ty,Logogram (brewer),A36,"15,14",A36,,,A036
1302A,U+1302A,,A-12-045,C,"Man, standing inside a cross-section of a vessel that reaches to his shoulders, arms extended at either side of the body, holding the rim of the vessel.",ꜥf.ty,Logogram (brewer),A37,,A37,,,A037
1302B,U+1302B,,A-21-002,C,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man. ",ḳꞽs,Logogram (Cusae),A38,"32,5",A38,,,A038
1302C,U+1302C,,A-21-001,C,"Man, standing on the back of two animals, which look either way, man arms extended at either side of the body, holding both heads of the animals.",ḳꞽs,Logogram (Cusae),A39,"32,4",A39,,,A039
1302D,U+1302D,,A-26-005,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig.",,Classifier divinity,,"38,9",A40,,,A040
1302E,U+1302E,,A-26-013,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a sceptre with a straight shaft, topped with the head of the Seth animal.",,Classifier divinity,A40A,"38,14",A40A,,,A040A
1302F,U+1302F,,A-26-008,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus.",ꞽ,Logogram (first person singular),A41,"38,11",A41,,,A041
13030,U+13030,,A-26-019,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45).",n(y)-sw.t,Classifier king,A42,"39,5",A42,,,A042
13031,U+13031,,A-26-029,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45) and crook (S38) with the opening inwards.",ꞽ,Logogram (first person singular),A42B,"39,14",A42B,,,A042A
13032,U+13032,,A-28-002,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A).",,Classifier king,,,A43,,,A043
13033,U+13033,,A-28-017,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",n.y-sw.t,Logogram (king of Upper Egypt),A43M,"42,14",A43M,,,A043A
13034,U+13034,,A-28-010,C,"King, seated, both knees up, with covered legs and arms, without beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45).",n.y-sw.t,Classifier king,A44,"42,7",A44,,,A044
13035,U+13035,,A-29-001,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3).",bꞽ.ty,Classifier king,A45,"44,4",A45,,,A045
13036,U+13036,,A-29-007,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",n.y-sw.t,Classifier king,A45B,"44,9",A45B,,,A045A
13037,U+13037,,A-29-004,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3), holding a flagellum (S45).",bꞽ.tyw,Classifier king,A46,"44,6",A46,,,A046
13038,U+13038,,A-13-004,C,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",sꜣw,Logogram (to guard),A47,"17,8",A47,,,A047
13039,U+13039,,A-13-030,C,"Man, seated, both knees up, with covered legs and arms, with short hair/wig, holding an unknown object (mace/knife/stick?)",ꞽr.y,"Logogram (relating to, belonging to)",,,A48,,,A048
1303A,U+1303A,,A-13-032,C,"Man, seated, both knees up, with covered legs and arms, with a short bushy beard and short hair/wig, holding a stick which angles slightly towards the body.",,Classifier foreigner,,,A49,,,A049
1303B,U+1303B,,A-25-032,C,"Man, with short straight beard, seated on a chair, no arms visible.",špsꞽ,Logogram (to be noble),A50,"37,16",A50,,,A050
1303C,U+1303C,,A-25-005,C,"Man, with a short straight beard, seated on a chair, both arms extended forward, forearms horizontal, one above another, holding a flagellum (S45).",šps,Logogram (to be noble),A51,"36,9",A51,,,A051
1303D,U+1303D,,A-31-001,C,"Man, seated, both knees down, with short straight beard, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",,Classifier name (deceased person),A52,"46,11",A52,,,A052
1303E,U+1303E,,A-32-001,C,"A mummy with a long-curved beard, standing upright.",,Classifier image/statue/likeness,A53,"47,5",A53,,,A053
1303F,U+1303F,,A-32-007,C,"A mummy with a long-curved beard, lying horizontally.",,Classifier body/corpse/death,A54,"47,6",A54,,Y,A054
13040,U+13040,,A-32-008,C,"A mummy with a long-curved beard, lying horizontally on top of a bed.",sḏr,Logogram (to sleep/to spend the night),A55,,A55,,,A055
13041,U+13041,,A-12-047,C,"Man, seated, right knee raised, right arm raised in front, left arm in front of body, holding a stick which rests against the left shoulder. ",ḫft.y,Classifier enemy,A56,,A56,,,A056
13042,U+13042,,A-29-029,C,"King, standing, with a long straight beard, wearing the red crown (S3), both arms forwards, hands at the height of the belly/waist, holding a loaf of bread on a reed mat (R4) horizontally.",ḥtp-dꞽ-n.y-sw.t,Logogram (an offering that the king gives),A57,,A57,,,A057
13043,U+13043,,A-12-012,C,"Man, standing, back bent forward, both arms toward the front, holding a hoe with a rope connecting the two pieces (U6), with the forward piece at the level of the feet.",ḫbs,Classifier hacking,A58,"16,4",A58,,,A058
13044,U+13044,,A-16-029,C,"Man, standing, right arm forward, forearm and hand at the level of the waist, left arm raised, forearm vertically, holding a stick nearly horizontally.",sḥrꞽ,Classifier driving away,A59,"22,15",A59,,,A059
13045,U+13045,,A-10-013,C,"Man, standing, right arm forward, forearm horizontal, hand palm upwards, left arm backwards, upper arm horizontal, forearm nearly vertical, hand palm inwards, with a dotted line running between the hand palms.",stꞽ,"Logogram (to sprinkle, to scatter)",A60,,A60,,,A060
13046,U+13046,,A-02-033,C,"Man, standing, head oriented backwards, with the arms hanging at either side of the body.",ꜥnn,Logogram (to turn back),A61,"5,4",A61,,,A061
13047,U+13047,,A-02-004,C,"Foreign man, with a bushy beard, standing, wearing a long dress, with the arms hanging at either side of the body.",wr,"Logogram (great one, chief)",,"3,12",,,,A062
13048,U+13048,,A-25-025,C,,,,A63,"37,12",A63,,,A063
13049,U+13049,,A-07-006,C,"Man, seated on heel, both knees down, back straight, arm extended in front, forearm horizontal, holding a wide cup (W10). ",fꜣꞽ,"Classifier to lift, to carry",A116,"10,14",A116,,,A064
1304A,U+1304A,,A-27-023,C,"Stylistic early dynastic form of a man, standing, holding a stick.",ꞽr.y-nṯr,Logogram (the one who belongs to the god),A469,"41,11",A469,,,A065
1304B,U+1304B,,A-20-001,C,"Man, standing, wearing kilt, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body.",ꞽḥy,Logogram (the musician/Ihy),,"30,6",A239,,,A066
1304C,U+1304C,,A-24-001,C,"A dwarf, standing, arms hanging at either side of the body.",,Classifier personal name,,"36,5",,,,A067
1304D,U+1304D,,A-16-009,C,"Man, standing, right arm forward, forearm horizontal at the height of the waist, holding a knife (T30) at a forward angle, left arm hanging beside the body.",wpw.ty,Logogram (messenger),A199A,"21,14",A199A,,,A068
1304E,U+1304E,,A-01-008,C,"Man, seated, right knee raised, right arm raised, left arm hanging beside the body.",,Classifier occupation/relationship,A71,"1,5",A71,,,A069
1304F,U+1304F,,C-13-001,C,"Man, seated, right knee raised, raised arms at either side of the body, hands held vertically, with the hand palms inwards.",ḥḥ,"Logogram (million, many)",A73,"68,13",A73,,,A070
13050,U+13050,,B-01-003,C,"Woman, seated, both knees up, with covered legs and arms, with long hair.",,Classifier female,B1,"48,3",B1,,,B001
13051,U+13051,,B-09-002,C,"Woman, pregnant, seated, both knees down, with a band of cloth around the head, right arm forward, angling down towards the knee, left arm hanging beside the body.",ꞽwr,Classifier pregnant,B2,"54,2",B2,,,B002
13052,U+13052,,B-09-011,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with the head and arms of a child coming from the legs.",msꞽ,Classifier birth,B3,"54,5",B3,,,B003
13053,U+13053,,B-09-004,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with three vertical lines coming from the legs.",msꞽ,Classifier birth,B4,,B4,,,B004
13054,U+13054,,B-09-014,C,"Woman, seated, both knees down, nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.",rnn,"Classifier nursing, rearing",B5,"54,8",B5,,,B005
13055,U+13055,,B-02-010,C,"Woman, seated, both knees down, with long hair and a band of cloth around the head, bound at the back, with two sticks forming a cross-like structure over the legs.",? | mnḫ.t,Logogram weaver or nurse,,,B104,,,B005A
13056,U+13056,,B-09-020,C,"Woman, seated on a block throne, with a child on her lap, facing her, both arms down; both arms forward, right arm behind the child, left arm in front of the child.",rnn,"Classifier nursing, rearing",B6,"54,13",B6,,,B006
13057,U+13057,,B-01-022,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flower which curves forward, with the flower orientated downwards.",,Classifier female royalty,B7,"49,6",B7,,,B007
13058,U+13058,,B-02-002,C,"Woman, seated, both knees down, no arms visible, with a flower on the knee, which curves towards the face, with the flower in front of the face.",ḥr.w-nb,Classifier human being (together with A1),B8,"49,15",B8,,,B008
13059,U+13059,,B-08-005,C,"Woman, standing, with long hair, right arm extended forward, hand at the height of the shoulder, holding a sistrum (Y18), vertically, left arm hanging beside the body.",ꞽḥ.yt,Logogram (the musician),B47,"53,10",B47,,,B009
1305A,U+1305A,,C-24-002,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head.",rꜥ,Logogram (Re),C1,"76,5",C1,,,C001
1305B,U+1305B,,C-09-029,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",rꜥ,Logogram (Re),C2,"63,7",C2,,,C002
1305C,U+1305C,,C-09-017,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head.",rꜥ,Logogram (Re),C2A,"62,9",C2A,,,C002A
1305D,U+1305D,1305C 13440,C-09-018,L,,,,,"62,10",,,,C002B
1305E,U+1305E,1305B 13440,C-09-030,L,,,,,"63,8",,,,C002C
1305F,U+1305F,,C-31-001,C,"God, seated, knees up, with covered legs and arms, with the head of an ibis.",ḏhwty,Logogram (Thot),C3,"78,8",C3,,,C003
13060,U+13060,,C-15-001,C,"God, seated, knees up, with covered legs and arms, with the head of a ram, with horizontal twisted horns.",ẖnm.w,Classifier Khnum,C4,"71,3",C4,,,C004
13061,U+13061,,C-15-007,C,"God, seated, knees up, with covered legs and arms, with the head of a ram with horizontal twisted horns, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",ẖnm.t-ꜥnḫ,Logogram/phonemogram (who joins with life),C5,"71,8",C5,,,C005
13062,U+13062,,C-04-001,C,"God, seated, knees up, with covered legs and arms, with the head of a jackal.",,Classifier Anubis/Wepwawet (divinity),C6,"58,10",C6,,,C006
13063,U+13063,,C-26-001,C,"God, seated, knees up, with covered legs and arms, with the head of a Seth animal.",stš/stẖ,Logogram (Seth),C7,"76,9",C7,,,C007
13064,U+13064,,C-17-001,C,"An ithyphallic god, with long, curved beard, standing on a platform, wearing a double plume headdress, with a line coming from the back of the head, running down to the base, arm raised in back, with a flagellum (S45) written over the arm.",gb.tyw,Classifier Min,C8,"72,5",C8,,,C008
13065,U+13065,,C-35-002,C,"Goddess, seated, knees up, with covered legs and arms, with a headdress of bovine horns with a sun disk (F102).",ḥw.t-ḥr,Logogram (Hathor),C9,"80,8",,,,C009
13066,U+13066,,C-37-002,C,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head.",mꜣꜥ.t,Logogram (Maat),C10,"85,7",C10,,,C010
13067,U+13067,,C-37-005,C,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",mꜣꜥ.t,Logogram (Maat),C10A,"86,1",C10A,,,C010A
13068,U+13068,,C-13-004,C,"God, seated on heel, right knee raised, with long-curved beard and coif, with a palm branch, stripped of leaves and notched on his head (M4), notch forward, raised arms at either side of the body, hands held vertically, with the hand palms inwards.",ḥḥ,"Logogram (million, many)",,,C11,,,C011
13069,U+13069,,C-03-003,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",ꞽmn,Logogram (Amon),C12,"57,9",C12,,,C012
1306A,U+1306A,13069 13440,C-03-010,L,,,,,"58,6",,,,C013
1306B,U+1306B,,C-03-011,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a khopesh sword (T16A) vertically.",ꞽmn-ḥr-ḫpš=f,Logogram (Amon is his strength (sꜣ-rꜥ name Ramses VI)),C12F,"58,7",C12F,,,C014
1306C,U+1306C,1306B 13440,C-03-013,L,,,,,,,,,C015
1306D,U+1306D,,A-30-004,C,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",ꞽtmw,Logogram (Atum),,,,,,C016
1306E,U+1306E,,C-09-078,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",,Classifier Montu (divinity),C17,"65,6",C17,,,C017
1306F,U+1306F,,C-30-002,C,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77).",tꜣ-ṯnn,Classifier Tatenen,,,,,,C018
13070,U+13070,,C-23-016,C,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.",ptḥ,Classifier Ptah,C19,"75,11",C19,,,C019
13071,U+13071,,C-23-023,C,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); enclosed within a shrine supported by columns resembling papyrus stems with buds (M013).",ptḥ,Logogram (Ptah),C20,"76,3",C20,,,C020
13072,U+13072,,C-07-001,C,"Bes figure, seen from the front, with tail between the legs and headdress, arms downwards, hands behind the back.",bs,Phonemogram,C33,"60,12",C33,,,C021
13073,U+13073,,C-09-086,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a crescent moon with the entire moon disk (N62) on its head.",ꞽꜥḥ,Classifier moon,C49B,,C49B,,,C022
13074,U+13074,,C-36-015,C,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head.",sḫm.t,Logogram (Sekhmet),C165,"84,8",C165,,,C023
13075,U+13075,,C-40-006,C,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",n.t,Logogram (Neith),C185B,"88,1",C185B,,,C024
13076,U+13076,,D-01-001,C,"The head of a human man, seen in profile, with a short straight beard.",tp,Logogram (head),D1,"94,1",D1,,,D001
13077,U+13077,,D-02-001,C,The face of a human man.,ḥr,Phonemogram,D2,"94,12",D2,,,D002
13078,U+13078,,D-04-004,C,A lock of hair with three strands.,,Classifier hair,D3,,D3,,,D003
13079,U+13079,,D-05-001,C,An eye.,ꞽr,Phonemogram,D4,"96,14",D4,,,D004
1307A,U+1307A,,D-06-007,C,An eye with two touches of eye paint above the eye.,dgꞽ,Classifier eye related actions,D5,,D5,,,D005
1307B,U+1307B,,D-06-001,C,"An eye, with a line of eye-paint above the eye.",dgꞽ,Classifier eye related actions,D6,"97,4",D6,,,D006
1307C,U+1307C,,D-06-020,C,An eye with a painted lower lid.,ꜥntyw,Phonemogram,D7,"98,1",D7,,,D007
1307D,U+1307D,,D-06-026,C,"An eye, written inside an oval.",ꜥn,Phonemogram,D8,"98,2",D8,,,D008
1307E,U+1307E,,D-06-030,C,An eye with a painted lower lid inside an oval.,ꜥn,Phonemogram,D8A,"98,5",D8A,,,D008A
1307F,U+1307F,,D-07-001,C,"An eye, with three lines coming from the bottom.",rmꞽ,Logogram (to weep),D9,,D9,,,D009
13080,U+13080,,D-08-002,C,"An eye, with the markings of the head of a falcon.",wḏꜣ.t,Logogram (udjat eye),D10,"99,1",D10,,,D010
13081,U+13081,,D-09-001,C,The left part of the white of an eye.,,Logogram 1/2,D11,"99,7",D11,Y,,D011
13082,U+13082,,D-09-002,C,The pupil of an eye.,ḏfḏ,Classifier pupil,D12,"99,8",D12,,,D012
13083,U+13083,,D-09-005,C,An eyebrow.,ꞽnḥ,Classifier eyebrow,D13,"99,10",D13,,,D013
13084,U+13084,,D-09-009,C,The right part of the white of an eye.,,Logogram 1/16,D14,"99,13",D14,Y,,D014
13085,U+13085,,D-09-010,C,The right lower marking of an udjat eye.,,Logogram 1/32,D15,,D15,,,D015
13086,U+13086,,D-09-011,C,The left lower marking of an udjat eye.,,Logogram 1/64,D16,,D16,,,D016
13087,U+13087,,D-09-012,C,The left and right lower marking of an udjat eye.,tꞽ.t,"Logogram (figure, image)",D17,"99,14",D17,,,D017
13088,U+13088,,D-10-001,C,The ear of a human.,msḏr,Logogram (ear),D18,"100,6",D18,,,D018
13089,U+13089,,D-11-001,C,"The nose, eye and cheek of a human.",šr.t,Classifier nose,D19,"100,7",D19,,,D019
1308A,U+1308A,,D-11-002,C,"The nose, eye and cheek of a human, written in a semi-cursive fashion.",fnḏ,Classifier nose,D20,"100,8",D20,,,D020
1308B,U+1308B,,D-12-001,C,A mouth.,r,Phonemogram,D21,"100,11",D21,,,D021
1308C,U+1308C,,D-12-004,C,A mouth with two vertical lines at the bottom of the sign.,r.wy,Logogram (2/3),D22,"100,13",D22,,,D022
1308D,U+1308D,,D-12-015,C,A mouth with three vertical lines at the bottom of the sign,ḫmt-r.w,Logogram (3/4),D23,,D23,,,D023
1308E,U+1308E,,D-13-001,C,The upper lip of a human with teeth.,sp.t,"Classifier lip, border, edge",D24,"101,9",D24,,,D024
1308F,U+1308F,,D-13-004,C,"The upper and lower lips of a human, with teeth.",sp.ty,Logogram (lips),D25,"101,11",D25,,,D025
13090,U+13090,,D-14-005,C,"A human mouth, seen from the side, with a wavy downward sloping line coming from the lips.",snf,Classifier blood,D26,"102,1",D26,,,D026
13091,U+13091,,D-16-002,C,A human breast.,mnḏ,Classifier breast,D27,"102,13",D27,,,D027
13092,U+13092,13091,D-16-001,L,A human breast.,,,D27A,"102,12",D27A,,,D027A
13093,U+13093,,D-18-001,C,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards.",kꜣ,"Logogram (spirit, essence)",D28,"103,2",D28,,,D028
13094,U+13094,,D-18-008,C,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, on top of a standard used for carrying religious symbols (R12).",kꜣ,"Logogram (spirit, essence)",D29,,D29,,,D029
13095,U+13095,,D-18-009,C,"Two arms, raised, with the palms of the hands towards each other, written on it side, with a downward curving line at the back.",nḥb-kꜣ.w,Classifier Nehebkau,D30,,D30,,,D030
13096,U+13096,13098 1343B 1335B,D-19-012,C,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other (D32), with a club used by washermen for beating laundry (U36) written between the arms.",ḥm-kꜣ,Logogram (mortuary priest),D31,"106,15",D31,,,D031
13097,U+13097,13093 1343A 1335B,D-18-072,L,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, with a club used by washermen for beating laundry (U36), written between the arms.",ḥm-kꜣ,Logogram (mortuary priest),,,D31A,,,D031A
