gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
A13,kEH_HG,1300F,U+1300F,A013,A13,A-18-001,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,C
A14,kEH_HG,13010,U+13010,A014,A14,A-18-081,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",C
A14A,kEH_JSesh,13011,U+13011,A014A,A14A,A-18-074,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,C
A15,kEH_HG,13012,U+13012,A015,A15,A-05-004,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),C
A16,kEH_HG,13013,U+13013,A016,A16,A-04-005,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,C
A17,kEH_HG,13014,U+13014,A017,A17,A-23-002,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,C
A17A,kEH_JSesh,13015,U+13015,A017A,A17A,A-23-007,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",Classifier youth/child,C
A18,kEH_HG,13016,U+13016,A018,A18,A-23-030,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),C
A19,kEH_JSesh,13017,U+13017,A019,A19,A-06-017,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.","Logogram (old, old age)",C
A20,kEH_HG,13018,U+13018,A020,A20,A-06-009,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),C
A21,kEH_HG,13019,U+13019,A021,A21,A-06-005,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,C
A22,kEH_HG,1301A,U+1301A,A022,A22,A-06-037,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,C
A23,kEH_HG,1301B,U+1301B,A023,A23,A-27-024,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,C
A24,kEH_HG,1301C,U+1301C,A024,A24,A-16-021,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,C
A25,kEH_HG,1301D,U+1301D,A025,A25,A-16-039,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",Classifier force/effort,C
A26,kEH_HG,1301E,U+1301E,A026,A26,A-02-020,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",Logogram (vocative interjection),C
A27,kEH_HG,1301F,U+1301F,A027,A27,A-02-041,"Man, running, right arm raised in front, left arm in front of the body.",Phonemogram/classifier messenger,C
A28,kEH_HG,13020,U+13020,A028,A28,A-02-044,"Man, standing, with arms raised at either side of the body, hand palms inwards.",Logogram (to be high),C
A29,kEH_HG,13021,U+13021,A029,A29,A-03-001,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",Classifier upside-down,C
A30,kEH_HG,13022,U+13022,A030,A30,A-04-001,"Man, standing, both arms raised in front, hands held vertically, hand palms outwards.",Classifier adoration,C
A31,kEH_HG,13023,U+13023,A031,A31,A-02-030,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",Classifier turning away,C
A32,kEH_HG,13024,U+13024,A032,A32,A-19-011,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the height of the left foot, right arm in front of the body, left arm raised at the back, hand at the height of the head.",Classifier dancing,C
,,13025,U+13025,A032A,,A-19-014,,,C
A33,kEH_HG,13026,U+13026,A033,A33,A-14-011,"Man, standing, bent forwards, both arms forward, holding a stick with a bundle or a mat over his shoulders, bundle behind the back.",Classifier wandering/displaced,C
A34,kEH_HG,13027,U+13027,A034,A34,A-12-019,"Man, standing, back slightly bent forwards, both arms forward, holding a long stick (rammer), which ends at the bottom in a mortar.","Logogram (to pound, to build)",C
A35,kEH_HG,13028,U+13028,A035,A35,A-12-023,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",Logogram (to build),C
A36,kEH_HG,13029,U+13029,A036,A36,A-12-008,"Man, standing, back bent forwards, both arms forwards, extending downwards into a large vessel.",Logogram (brewer),C
A37,kEH_HG,1302A,U+1302A,A037,A37,A-12-045,"Man, standing inside a cross-section of a vessel that reaches to his shoulders, arms extended at either side of the body, holding the rim of the vessel.",Logogram (brewer),C
A38,kEH_HG,1302B,U+1302B,A038,A38,A-21-002,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man. ",Logogram (Cusae),C
A39,kEH_HG,1302C,U+1302C,A039,A39,A-21-001,"Man, standing on the back of two animals, which look either way, man arms extended at either side of the body, holding both heads of the animals.",Logogram (Cusae),C
A40,kEH_JSesh,1302D,U+1302D,A040,A40,A-26-005,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig.",Classifier divinity,C
A40A,kEH_HG,1302E,U+1302E,A040A,A40A,A-26-013,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a sceptre with a straight shaft, topped with the head of the Seth animal.",Classifier divinity,C
A41,kEH_HG,1302F,U+1302F,A041,A41,A-26-008,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus.",Logogram (first person singular),C
A42,kEH_HG,13030,U+13030,A042,A42,A-26-019,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45).",Classifier king,C
A42B,kEH_HG,13031,U+13031,A042A,A42B,A-26-029,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45) and crook (S38) with the opening inwards.",Logogram (first person singular),C
A43,kEH_JSesh,13032,U+13032,A043,A43,A-28-002,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A).",Classifier king,C
A43M,kEH_HG,13033,U+13033,A043A,A43M,A-28-017,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (king of Upper Egypt),C
A44,kEH_HG,13034,U+13034,A044,A44,A-28-010,"King, seated, both knees up, with covered legs and arms, without beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45).",Classifier king,C
A45,kEH_HG,13035,U+13035,A045,A45,A-29-001,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3).",Classifier king,C
A45B,kEH_HG,13036,U+13036,A045A,A45B,A-29-007,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier king,C
A46,kEH_HG,13037,U+13037,A046,A46,A-29-004,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3), holding a flagellum (S45).",Classifier king,C
A47,kEH_HG,13038,U+13038,A047,A47,A-13-004,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",Logogram (to guard),C
A48,kEH_JSesh,13039,U+13039,A048,A48,A-13-030,"Man, seated, both knees up, with covered legs and arms, with short hair/wig, holding an unknown object (mace/knife/stick?)","Logogram (relating to, belonging to)",C
A49,kEH_JSesh,1303A,U+1303A,A049,A49,A-13-032,"Man, seated, both knees up, with covered legs and arms, with a short bushy beard and short hair/wig, holding a stick which angles slightly towards the body.",Classifier foreigner,C
A50,kEH_HG,1303B,U+1303B,A050,A50,A-25-032,"Man, with short straight beard, seated on a chair, no arms visible.",Logogram (to be noble),C
A51,kEH_HG,1303C,U+1303C,A051,A51,A-25-005,"Man, with a short straight beard, seated on a chair, both arms extended forward, forearms horizontal, one above another, holding a flagellum (S45).",Logogram (to be noble),C
A52,kEH_HG,1303D,U+1303D,A052,A52,A-31-001,"Man, seated, both knees down, with short straight beard, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",Classifier name (deceased person),C
A53,kEH_HG,1303E,U+1303E,A053,A53,A-32-001,"A mummy with a long-curved beard, standing upright.",Classifier image/statue/likeness,C
A54,kEH_HG,1303F,U+1303F,A054,A54,A-32-007,"A mummy with a long-curved beard, lying horizontally.",Classifier body/corpse/death,C
A55,kEH_HG,13040,U+13040,A055,A55,A-32-008,"A mummy with a long-curved beard, lying horizontally on top of a bed.",Logogram (to sleep/to spend the night),C
A56,kEH_HG,13041,U+13041,A056,A56,A-12-047,"Man, seated, right knee raised, right arm raised in front, left arm in front of body, holding a stick which rests against the left shoulder. ",Classifier enemy,C
A57,kEH_HG,13042,U+13042,A057,A57,A-29-029,"King, standing, with a long straight beard, wearing the red crown (S3), both arms forwards, hands at the height of the belly/waist, holding a loaf of bread on a reed mat (R4) horizontally.",Logogram (an offering that the king gives),C
A58,kEH_HG,13043,U+13043,A058,A58,A-12-012,"Man, standing, back bent forward, both arms toward the front, holding a hoe with a rope connecting the two pieces (U6), with the forward piece at the level of the feet.",Classifier hacking,C
A59,kEH_HG,13044,U+13044,A059,A59,A-16-029,"Man, standing, right arm forward, forearm and hand at the level of the waist, left arm raised, forearm vertically, holding a stick nearly horizontally.",Classifier driving away,C
A60,kEH_HG,13045,U+13045,A060,A60,A-10-013,"Man, standing, right arm forward, forearm horizontal, hand palm upwards, left arm backwards, upper arm horizontal, forearm nearly vertical, hand palm inwards, with a dotted line running between the hand palms.","Logogram (to sprinkle, to scatter)",C
A61,kEH_HG,13046,U+13046,A061,A61,A-02-033,"Man, standing, head oriented backwards, with the arms hanging at either side of the body.",Logogram (to turn back),C
,,13047,U+13047,A062,,A-02-004,"Foreign man, with a bushy beard, standing, wearing a long dress, with the arms hanging at either side of the body.","Logogram (great one, chief)",C
A63,kEH_HG,13048,U+13048,A063,A63,A-25-025,,,C
A116,kEH_HG,13049,U+13049,A064,A116,A-07-006,"Man, seated on heel, both knees down, back straight, arm extended in front, forearm horizontal, holding a wide cup (W10). ","Classifier to lift, to carry",C
A469,kEH_HG,1304A,U+1304A,A065,A469,A-27-023,"Stylistic early dynastic form of a man, standing, holding a stick.",Logogram (the one who belongs to the god),C
A239,kEH_JSesh,1304B,U+1304B,A066,A239,A-20-001,"Man, standing, wearing kilt, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body.",Logogram (the musician/Ihy),C
,,1304C,U+1304C,A067,,A-24-001,"A dwarf, standing, arms hanging at either side of the body.",Classifier personal name,C
A199A,kEH_HG,1304D,U+1304D,A068,A199A,A-16-009,"Man, standing, right arm forward, forearm horizontal at the height of the waist, holding a knife (T30) at a forward angle, left arm hanging beside the body.",Logogram (messenger),C
A71,kEH_HG,1304E,U+1304E,A069,A71,A-01-008,"Man, seated, right knee raised, right arm raised, left arm hanging beside the body.",Classifier occupation/relationship,C
A73,kEH_HG,1304F,U+1304F,A070,A73,C-13-001,"Man, seated, right knee raised, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",C
B1,kEH_HG,13050,U+13050,B001,B1,B-01-003,"Woman, seated, both knees up, with covered legs and arms, with long hair.",Classifier female,C
B2,kEH_HG,13051,U+13051,B002,B2,B-09-002,"Woman, pregnant, seated, both knees down, with a band of cloth around the head, right arm forward, angling down towards the knee, left arm hanging beside the body.",Classifier pregnant,C
B3,kEH_HG,13052,U+13052,B003,B3,B-09-011,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with the head and arms of a child coming from the legs.",Classifier birth,C
B4,kEH_HG,13053,U+13053,B004,B4,B-09-004,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with three vertical lines coming from the legs.",Classifier birth,C
B5,kEH_HG,13054,U+13054,B005,B5,B-09-014,"Woman, seated, both knees down, nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.","Classifier nursing, rearing",C
B104,kEH_JSesh,13055,U+13055,B005A,B104,B-02-010,"Woman, seated, both knees down, with long hair and a band of cloth around the head, bound at the back, with two sticks forming a cross-like structure over the legs.",Logogram weaver or nurse,C
B6,kEH_HG,13056,U+13056,B006,B6,B-09-020,"Woman, seated on a block throne, with a child on her lap, facing her, both arms down; both arms forward, right arm behind the child, left arm in front of the child.","Classifier nursing, rearing",C
B7,kEH_HG,13057,U+13057,B007,B7,B-01-022,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flower which curves forward, with the flower orientated downwards.",Classifier female royalty,C
B8,kEH_HG,13058,U+13058,B008,B8,B-02-002,"Woman, seated, both knees down, no arms visible, with a flower on the knee, which curves towards the face, with the flower in front of the face.",Classifier human being (together with A1),C
B47,kEH_HG,13059,U+13059,B009,B47,B-08-005,"Woman, standing, with long hair, right arm extended forward, hand at the height of the shoulder, holding a sistrum (Y18), vertically, left arm hanging beside the body.",Logogram (the musician),C
C1,kEH_HG,1305A,U+1305A,C001,C1,C-24-002,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head.",Logogram (Re),C
C2,kEH_HG,1305B,U+1305B,C002,C2,C-09-029,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Re),C
C2A,kEH_HG,1305C,U+1305C,C002A,C2A,C-09-017,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head.",Logogram (Re),C
,,1305D,U+1305D,C002B,,C-09-018,,,L
,,1305E,U+1305E,C002C,,C-09-030,,,L
C3,kEH_HG,1305F,U+1305F,C003,C3,C-31-001,"God, seated, knees up, with covered legs and arms, with the head of an ibis.",Logogram (Thot),C
C4,kEH_HG,13060,U+13060,C004,C4,C-15-001,"God, seated, knees up, with covered legs and arms, with the head of a ram, with horizontal twisted horns.",Classifier Khnum,C
C5,kEH_HG,13061,U+13061,C005,C5,C-15-007,"God, seated, knees up, with covered legs and arms, with the head of a ram with horizontal twisted horns, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram/phonemogram (who joins with life),C
C6,kEH_HG,13062,U+13062,C006,C6,C-04-001,"God, seated, knees up, with covered legs and arms, with the head of a jackal.",Classifier Anubis/Wepwawet (divinity),C
C7,kEH_HG,13063,U+13063,C007,C7,C-26-001,"God, seated, knees up, with covered legs and arms, with the head of a Seth animal.",Logogram (Seth),C
C8,kEH_HG,13064,U+13064,C008,C8,C-17-001,"An ithyphallic god, with long, curved beard, standing on a platform, wearing a double plume headdress, with a line coming from the back of the head, running down to the base, arm raised in back, with a flagellum (S45) written over the arm.",Classifier Min,C
C9,kEH_HG,13065,U+13065,C009,,C-35-002,"Goddess, seated, knees up, with covered legs and arms, with a headdress of bovine horns with a sun disk (F102).",Logogram (Hathor),C
C10,kEH_HG,13066,U+13066,C010,C10,C-37-002,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head.",Logogram (Maat),C
C10A,kEH_HG,13067,U+13067,C010A,C10A,C-37-005,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Maat),C
C11,kEH_JSesh,13068,U+13068,C011,C11,C-13-004,"God, seated on heel, right knee raised, with long-curved beard and coif, with a palm branch, stripped of leaves and notched on his head (M4), notch forward, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",C
C12,kEH_HG,13069,U+13069,C012,C12,C-03-003,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (Amon),C
,,1306A,U+1306A,C013,,C-03-010,,,L
C12F,kEH_HG,1306B,U+1306B,C014,C12F,C-03-011,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a khopesh sword (T16A) vertically.",Logogram (Amon is his strength (sꜣ-rꜥ name Ramses VI)),C
,,1306C,U+1306C,C015,,C-03-013,,,L
,,1306D,U+1306D,C016,,A-30-004,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Atum),C
C17,kEH_HG,1306E,U+1306E,C017,C17,C-09-078,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Classifier Montu (divinity),C
,,1306F,U+1306F,C018,,C-30-002,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77).",Classifier Tatenen,C
C19,kEH_HG,13070,U+13070,C019,C19,C-23-016,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.",Classifier Ptah,C
C20,kEH_HG,13071,U+13071,C020,C20,C-23-023,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); enclosed within a shrine supported by columns resembling papyrus stems with buds (M013).",Logogram (Ptah),C
C33,kEH_HG,13072,U+13072,C021,C33,C-07-001,"Bes figure, seen from the front, with tail between the legs and headdress, arms downwards, hands behind the back.",Phonemogram,C
C49B,kEH_HG,13073,U+13073,C022,C49B,C-09-086,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a crescent moon with the entire moon disk (N62) on its head.",Classifier moon,C
C165,kEH_HG,13074,U+13074,C023,C165,C-36-015,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head.",Logogram (Sekhmet),C
C185B,kEH_HG,13075,U+13075,C024,C185B,C-40-006,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Neith),C
D1,kEH_HG,13076,U+13076,D001,D1,D-01-001,"The head of a human man, seen in profile, with a short straight beard.",Logogram (head),C
D2,kEH_HG,13077,U+13077,D002,D2,D-02-001,The face of a human man.,Phonemogram,C
D3,kEH_HG,13078,U+13078,D003,D3,D-04-004,A lock of hair with three strands.,Classifier hair,C
D4,kEH_HG,13079,U+13079,D004,D4,D-05-001,An eye.,Phonemogram,C
D5,kEH_HG,1307A,U+1307A,D005,D5,D-06-007,An eye with two touches of eye paint above the eye.,Classifier eye related actions,C
D6,kEH_HG,1307B,U+1307B,D006,D6,D-06-001,"An eye, with a line of eye-paint above the eye.",Classifier eye related actions,C
D7,kEH_HG,1307C,U+1307C,D007,D7,D-06-020,An eye with a painted lower lid.,Phonemogram,C
D8,kEH_HG,1307D,U+1307D,D008,D8,D-06-026,"An eye, written inside an oval.",Phonemogram,C
D8A,kEH_HG,1307E,U+1307E,D008A,D8A,D-06-030,An eye with a painted lower lid inside an oval.,Phonemogram,C
D9,kEH_HG,1307F,U+1307F,D009,D9,D-07-001,"An eye, with three lines coming from the bottom.",Logogram (to weep),C
D10,kEH_HG,13080,U+13080,D010,D10,D-08-002,"An eye, with the markings of the head of a falcon.",Logogram (udjat eye),C
D11,kEH_HG,13081,U+13081,D011,D11,D-09-001,The left part of the white of an eye.,Logogram 1/2,C
D12,kEH_HG,13082,U+13082,D012,D12,D-09-002,The pupil of an eye.,Classifier pupil,C
D13,kEH_HG,13083,U+13083,D013,D13,D-09-005,An eyebrow.,Classifier eyebrow,C
D14,kEH_HG,13084,U+13084,D014,D14,D-09-009,The right part of the white of an eye.,Logogram 1/16,C
D15,kEH_HG,13085,U+13085,D015,D15,D-09-010,The right lower marking of an udjat eye.,Logogram 1/32,C
D16,kEH_HG,13086,U+13086,D016,D16,D-09-011,The left lower marking of an udjat eye.,Logogram 1/64,C
D17,kEH_HG,13087,U+13087,D017,D17,D-09-012,The left and right lower marking of an udjat eye.,"Logogram (figure, image)",C
D18,kEH_HG,13088,U+13088,D018,D18,D-10-001,The ear of a human.,Logogram (ear),C
D19,kEH_HG,13089,U+13089,D019,D19,D-11-001,"The nose, eye and cheek of a human.",Classifier nose,C
D20,kEH_HG,1308A,U+1308A,D020,D20,D-11-002,"The nose, eye and cheek of a human, written in a semi-cursive fashion.",Classifier nose,C
D21,kEH_HG,1308B,U+1308B,D021,D21,D-12-001,A mouth.,Phonemogram,C
D22,kEH_HG,1308C,U+1308C,D022,D22,D-12-004,A mouth with two vertical lines at the bottom of the sign.,Logogram (2/3),C
D23,kEH_HG,1308D,U+1308D,D023,D23,D-12-015,A mouth with three vertical lines at the bottom of the sign,Logogram (3/4),C
D24,kEH_HG,1308E,U+1308E,D024,D24,D-13-001,The upper lip of a human with teeth.,"Classifier lip, border, edge",C
D25,kEH_HG,1308F,U+1308F,D025,D25,D-13-004,"The upper and lower lips of a human, with teeth.",Logogram (lips),C
D26,kEH_HG,13090,U+13090,D026,D26,D-14-005,"A human mouth, seen from the side, with a wavy downward sloping line coming from the lips.",Classifier blood,C
D27,kEH_HG,13091,U+13091,D027,D27,D-16-002,A human breast.,Classifier breast,C
D27A,kEH_HG,13092,U+13092,D027A,D27A,D-16-001,A human breast.,,L
D28,kEH_HG,13093,U+13093,D028,D28,D-18-001,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards.","Logogram (spirit, essence)",C
D29,kEH_HG,13094,U+13094,D029,D29,D-18-008,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, on top of a standard used for carrying religious symbols (R12).","Logogram (spirit, essence)",C
D30,kEH_HG,13095,U+13095,D030,D30,D-18-009,"Two arms, raised, with the palms of the hands towards each other, written on it side, with a downward curving line at the back.",Classifier Nehebkau,C
D31,kEH_HG,13096,U+13096,D031,D31,D-19-012,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other (D32), with a club used by washermen for beating laundry (U36) written between the arms.",Logogram (mortuary priest),C
D31A,kEH_JSesh,13097,U+13097,D031A,D31A,D-18-072,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, with a club used by washermen for beating laundry (U36), written between the arms.",Logogram (mortuary priest),L
D32,kEH_HG,13098,U+13098,D032,D32,D-19-001,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other.","Classifier enveloping, embracing, uniting",C
D33,kEH_HG,13099,U+13099,D033,D33,D-20-002,"Two arms, holding an oar, in a rowing motion, below a cover.",Phonemogram,C
D34,kEH_HG,1309A,U+1309A,D034,,D-21-007,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a shield as seen in profile, top curving inwards, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",Logogram (to fight),C
D34A,kEH_HG,1309B,U+1309B,D034A,D34A,D-21-002,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a rectangular shield with inward curving sides, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",Logogram (to fight),C
D35,kEH_HG,1309C,U+1309C,D035,D35,D-22-002,"Two arms, connected at the shoulders, spread sideways, forearms horizontal, with the palms of the hands facing upwards",Logogram (negative particle),C
D36,kEH_HG,1309D,U+1309D,D036,D36,D-23-001,"A forearm, with the palm of the hand facing upwards.",Phonemogram,C
D37,kEH_HG,1309E,U+1309E,D037,D37,D-24-002,A forearm with the hand holding a conical loaf of bread (X8).,Phonemogram,C
D38,kEH_HG,1309F,U+1309F,D038,D38,D-24-004,"A forearm with the hand holding a loaf of bread, without internal detail (X3).",Phonemogram,C
D39,kEH_HG,130A0,U+130A0,D039,D39,D-24-007,A forearm with the hand holding a round vessel with an upstanding rim (W24).,"Logogram (to offer, to present)",C
D40,kEH_HG,130A1,U+130A1,D040,D40,D-25-001,A forearm with the hand holding a stick.,"Classifier force, effort",C
D41,kEH_HG,130A2,U+130A2,D041,D41,D-25-014,"A forearm, with the palm of the hand downwards, with the upper arm bent forwards.",Classifier arm related movements or actions,C
D42,kEH_HG,130A3,U+130A3,D042,D42,D-25-017,"A forearm, with the palm of the hand downwards, upper arm vertical.",Logogram (cubit),C
D43,kEH_HG,130A4,U+130A4,D043,D43,D-25-021,A forearm with the hand holding a flagellum (S45).,Logogram (to protect),C
